0, "Zo, eindelijk af, niet erg tevreden..."
1, "Weer een schilderij af! Geef een like als je hem mooi vindt!"
2, "De hele nacht doorgewerkt, maar mijn nieuwe schilderij is af hoor!"
3, "En weer eentje klaar, ik hoop dat ik nu een keer naar een expositie mag!"
4, "Hm, wat vinden jullie? Hot or not?"
5, "Mijn nieuwste werk, wat vinden jullie ervan? Eerlijk zegggen!"
6, "Deze vloog voorbij, lijkt wel gisteren dat ik ermee begon. Ik hoop dat de klant hem mooi vindt."
7, "Best goed gelukt toch?"
8, "Even tussendoor geschilderd, niet veel bijzonders maar wel leuk toch?"
9, "Had wat tijd over en toen deze maar afgemaakt!"
